,year,country,activity,age,species_,mes,fatal,sex,especie tiburon,age_ok
0,2018,usa,Paddling,57,White shark,Jun,N,F,White shark,57
1,2018,brazil,Swimming,18,Tiger shark,Jun,Y,M,Tiger shark,18
2,2018,usa,Walking,15,"Bull shark, 6'",May,N,M,Bull shark,15
3,2018,australia,Feeding sharks,32,Grey reef shark,May,N,M,Grey shark,32
4,2018,england,Fishing,21,Invalid incident,May,N,M,Unspecified,21
5,2018,costa rica,Scuba diving,30,Tiger shark,Apr,N,M,Tiger shark,30
6,2018,australia,Surfing,60,3 m shark,Apr,N,M,Unspecified,60
7,2018,maldives,Fishing,32,Tiger shark,Apr,N,M,Tiger shark,32
8,2018,south africa,Paddle-skiing,33,"White shark, 2.5 m",Apr,N,M,White shark,33
9,2018,south africa,Surfing,19,White shark,Apr,N,M,White shark,19
10,2018,usa,Stand-Up Paddleboarding,25,"Tiger shark, 12'",Mar,N,M,Tiger shark,25
11,2018,australia,Wading,10,Wobbegong shark,Mar,N,M,Unspecified,10
12,2018,australia,Swimming,69,3.5 m shark,,N,M,Unspecified,69
13,2018,australia,Surfing,18,1.8 m shark,,N,M,Unspecified,18
14,2018,australia,Swimming,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,Unspecified,55
15,2018,australia,Walking,35,"Bull shark, 2 m",Feb,N,M,Bull shark,35
16,2018,brazil,Surfing,20,small shark,Jan,N,M,Unspecified,20
17,2017,usa,Surfing,54,Tiger shark,Dec,N,F,Tiger shark,54
18,2017,usa,Spearfishing,25,"White shark, 4.6 m",Nov,N,M,White shark,25
19,2017,australia,Surfing,25,2 m shark,Nov,N,M,Unspecified,25
20,2017,cuba,Night bathing,22,Tiger shark,Nov,Y,M,Tiger shark,22
21,2017,australia,Surfing,31,"Wobbegong shark, 1 m",Oct,N,M,Unspecified,31
22,2017,australia,Kayaking / Fishing,15,"White shark, 4.5 m",Oct,N,F,White shark,15
23,2017,usa,Surfing,54,"Tiger shark, 8 to 10 feet",Oct,N,M,Tiger shark,54
24,2017,usa,Snorkeling,40,8' shark,Oct,N,F,Unspecified,40
25,2017,usa,Surfing,33,Questionable,Sep,,M,Unspecified,33
26,2017,usa,Surfing,18,5' to 6' shark,Sep,N,M,Unspecified,18
27,2017,australia,Surfing,35,"White shark, 3 to 3.5m ",Sep,N,M,White shark,35
28,2017,australia,Surfing,37,"White shark, 3 m",Aug,N,M,White shark,37
29,2017,spain,Swimming,11,Shark involvement questionable,Aug,,F,Unspecified,11
30,2017,usa,SUP,69,"White shark, 5' to 7'",Aug,N,M,White shark,69
31,2017,usa,Swimming,13,Possibly a juvenile blacktip shark,Aug,N,M,Unspecified,13
32,2017,usa,Fishing,34,4' shark,Aug,N,M,Unspecified,34
33,2017,usa,Swimming,10,A small shark,Jul,,M,Unspecified,10
34,2017,usa,Kayaking,40,"White shark, 11' to 13'",Jul,N,M,White shark,40
35,2017,usa,SUP,50,"White shark, 8' to 10'",Jul,N,M,White shark,50
36,2017,usa,Swimming,46,"Bull shark, 4' to 5'",Jul,N,M,Bull shark,46
37,2017,south africa,Surfing,13,"White shark, 2.5 m",Jul,N,F,White shark,13
38,2017,australia,Body boarding,48,"White shark, 4 m",Jun,N,M,White shark,48
39,2017,bahamas,Snorkeling,32,Tiger shark,Jun,N,F,Tiger shark,32
40,2017,usa,Surfing,18,Shark involvement highly doubtful,May,,F,Unspecified,18
41,2017,australia,Surfing,17,White shark,Apr,Y,F,White shark,17
42,2017,usa,Surfing,28,"Tiger shark, 12'",Apr,N,M,Tiger shark,28
43,2017,usa,Swimming,17,"Bull shark, 5' to 7'",Apr,N,F,Bull shark,17
44,2017,australia,Scuba Diving,55,"Bull shark, 4 m",Jan,N,M,Bull shark,55
45,2017,indonesia,Surfing,48,"Bull shark, 1 m",Jan,N,M,Bull shark,48
46,2017,australia,Wading,20,Shark involvement not confirmed,Jan,,M,Unspecified,20
47,2016,south africa,Surf skiing ,55,"White shark, 4 m",Dec,N,M,White shark,55
48,2016,usa,Surfing,19,Shark involvement not confirmed,Dec,,M,Unspecified,19
49,2016,australia,Surf fishing,20,"Wobbegong shark, 2m",Dec,N,M,Unspecified,20
50,2016,australia,Surfing,65,White shark,Dec,N,M,White shark,65
51,2016,australia,Fishing,73,"Broadnose sevengill shark, 1.5 m",Nov,N,M,Unspecified,73
52,2016,usa,Floating,58,Tiger shark,Nov,N,F,Tiger shark,58
53,2016,usa,Surfing,36, 6' to 8' shark,Oct,N,M,Unspecified,36
54,2016,australia,Surfing,17,"White shark, 3.5 m",Sep,N,M,White shark,17
55,2016,usa,Wading,60s,3' to 4' shark,Sep,N,M,Unspecified,60
56,2016,usa,Swimming,51,"Tiger shark, 10'",Sep,N,F,Tiger shark,51
57,2016,usa,Surfing,25,"Bull shark, 6'",Aug,N,M,Bull shark,25
58,2016,usa,SUP Foil boarding,21,"Tiger shark, 10' ",Aug,N,M,Tiger shark,21
59,2016,spain,Swimming,40,Blue shark,Jul,N,M,Unspecified,40
60,2016,australia,Fishing,31,"reef shark, 1m",Jul,N,M,Unspecified,31
61,2016,usa,Kite surfing,61,"White shark, 10' to 12'",Jul,N,M,White shark,61
